timestamp,ticker,price,score,w_spread,st_spread
2026-06-23 14:13,VEEV,159.53,0,38.01,3.87
2026-06-23 14:13,WDAY,115.76,0,48.88,2.04
2026-06-23 14:13,TTD,18.17,0,90.79,8.0
2026-06-23 14:13,PAYC,125.21,0,28.4,3.83
2026-06-23 14:13,BRK-B,493.18,4,1.58,0.5
2026-06-23 14:13,CB,332.25,4,6.83,0.46
2026-06-23 14:13,AFL,118.11,4,5.08,2.16
2026-06-23 14:13,TRV,315.11,4,5.67,0.82
2026-06-23 14:13,PGR,216.03,3,4.88,0.51
2026-06-23 14:13,AJG,216.55,2,18.38,1.51
2026-06-23 14:13,AON,319.67,0,6.44,0.62
2026-06-23 14:13,WTW,257.79,0,17.78,6.29
2026-06-23 14:13,CINF,174.92,4,3.63,1.39
2026-06-23 14:13,NVO,46.76,2,13.98,5.98
2026-06-23 14:13,ISRG,400.58,0,15.82,5.54
2026-06-23 14:13,EW,86.43,4,3.43,2.27
2026-06-23 14:13,ALGN,172.43,1,8.66,1.4
2026-06-23 14:13,IDXX,541.4,0,12.95,3.6
2026-06-23 14:13,MASI,179.95,4,12.54,4.02
2026-06-23 14:13,PODD,143.97,0,72.04,23.26
2026-06-23 14:13,WST,333.93,4,14.61,10.31
2026-06-23 14:13,MCO,444.0,0,6.79,0.69
2026-06-23 14:13,SPGI,401.7,0,14.35,0.91
2026-06-23 14:13,MSCI,579.71,3,4.77,3.9
2026-06-23 14:13,ICE,133.48,0,10.02,4.28
2026-06-23 14:13,CME,244.38,0,5.54,5.54
2026-06-23 14:13,CBOE,260.12,1,16.19,4.34
2026-06-23 14:13,FDS,218.54,0,23.74,4.12
2026-06-23 14:13,BR,137.01,0,39.08,8.35
2026-06-23 14:13,NDAQ,82.75,0,3.69,2.35
2026-06-23 14:13,COIN,158.97,0,43.68,0.39
2026-06-23 14:13,ODFL,219.03,4,20.45,5.12
2026-06-23 14:13,EXPD,161.68,4,10.11,3.54
2026-06-23 14:13,CHRW,181.65,4,12.35,1.45
2026-06-23 14:13,XPO,200.06,2,23.18,2.91
2026-06-23 14:13,JBHT,270.85,4,25.25,8.63
2026-06-23 14:13,SAIA,433.62,3,23.17,9.39
2026-06-23 14:13,KNSL,307.04,0,24.18,7.41
2026-06-23 14:13,RLI,53.72,1,12.14,6.01
2026-06-23 14:13,CASH,84.17,3,8.7,5.06
